 名称,地址,服务时间,类型,联系电话等,许可证号,许可证有效期 ,lat,lng,town
 佛山市树精灵餐饮管理有限公司罗村分公司,佛山市南海区罗村街道罗湖北区金湖花园富乐宛地下5号车房, ,饮品店, ,粤餐证字2013440605002448,2016-07-18 00:00:00.0 ,23.064238,113.048236,狮山镇,金湖二街
 佛山市南海区丹灶余杨妹小食店,佛山市南海区丹灶镇金沙联安综合市场G座首层13号铺位, ,小吃店, ,粤餐证字2013440605002449,2016-07-18 00:00:00.0 ,23.030498,112.959118,丹灶镇,四约村北大街
 佛山市质安职业资格培训中心,佛山市南海区狮山镇狮山镇狮山办事处科技路, ,食堂, ,粤餐证字2013440605002450,2016-07-18 00:00:00.0 ,23.126301,113.001942,狮山镇,俊景南路
  佛山市南海区久添小食店,佛山市南海区狮山镇狮山南海湖景湾花园07栋底层110号商铺, ,小吃店, ,粤餐证字2013440605002451,2016-07-18 00:00:00.0 ,23.121009,112.996194,狮山镇,银湖西路
 佛山市南海九江辉兴饮食店,佛山市南海区九江镇人民路2号, ,快餐店, ,粤餐证字2013440605002455,2016-07-21 00:00:00.0 ,22.834447,113.010946,九江镇,人民路
 佛山市南海区西樵湘味小食店,佛山市南海区西樵海舟开发区小食店3号铺, ,小型餐馆, ,粤餐证字2013440605002454,2016-07-21 00:00:00.0 ,23.006957,113.073623,石湾镇街道,高庙路
 佛山市南海灿记食府,佛山市南海区大沥钟边铁村新区雅舍楼铺位, ,大型餐馆, ,粤餐证字2013440605002453,2016-07-18 00:00:00.0 ,23.106812,113.109657,大沥镇,城南二路
 佛山市南海皇尚酒家,佛山市南海区狮山镇小塘村横溪村民小组（土名：上水坑）, ,中型餐馆, ,粤餐证字2013440605002456,2016-07-21 00:00:00.0 ,23.088758,112.968643,狮山镇,唐南路
 佛山市南海区西樵杨玉堂小食店,佛山市南海区西樵上金瓯沙基铺幼儿园首层, ,小吃店, ,粤餐证字2013440605002458,2016-07-21 00:00:00.0 ,22.988224,112.910126,西樵镇,S269(大岗东路)
 佛山市南海区大沥味滋源美食馆,佛山市南海区大沥镇盐步世贸纺织城内B3座11-14号商铺, ,中型餐馆, ,粤餐证字2013440605002461,2016-07-21 00:00:00.0 ,22.995916,113.121755,石湾镇街道,港口路
 佛山市南海区西樵王世彬小食店,佛山市南海区西樵上金瓯文北村11号铺, ,小型餐馆, ,粤餐证字2013440605002459,2016-07-21 00:00:00.0 ,22.988224,112.910126,西樵镇,S269(大岗东路)
 佛山市南海区罗村宜品湘酒楼（普通合伙）,佛山市南海区罗村北湖一路6号海宜商业楼首层2、3号铺, ,中型餐馆, ,粤餐证字2013440605002460,2015-07-04 00:00:00.0 ,23.081915,113.044875,狮山镇,和贵路
 佛山市南海区叠香小食店,佛山市南海区桂城街道叠南陈丰村B51号首层, ,小吃店, ,粤餐证字2013440605002462,2016-07-22 00:00:00.0 ,23.053921,113.124742,桂城街道,海四路
 佛山市南海区布依川菜酒楼,佛山市南海区狮山镇穆院村“牛巷口”狮山美食城综合楼二首层东边1号铺, ,大型餐馆, ,粤餐证字2013440605002464,2016-07-22 00:00:00.0 ,23.125441,113.006309,狮山镇,政协路
 佛山市南海区大沥嘉蓓少儿托管中心,佛山市南海区大沥镇沥东村委会祺兴花园首层14、15号铺, ,食堂, ,粤餐证字2013440605002465,2016-07-22 00:00:00.0 ,23.118522,113.123628,大沥镇,教育北路
 佛山市南海区西樵西岸紫庆东寨农庄,佛山市南海区西樵西岸田心村（即村门口田尾段鱼塘）, ,中型餐馆, ,粤餐证字2013440605002468,2016-07-23 00:00:00.0 ,23.038714,112.955039,丹灶镇,田心大街
 佛山市南海区西樵天外天川粤菜火锅店,佛山市南海区西樵今易德商贸广场B座27-28号铺, ,中型餐馆, ,粤餐证字2013440605002469,2016-07-23 00:00:00.0 ,22.947236,112.906107,西樵镇,河岗大道
 佛山市南海区九江湘许人家湘菜馆,佛山市南海区九江镇梅圳村上北大道农科站内商业街综合楼2F号商铺, ,小型餐馆, ,粤餐证字2013440605002473,2016-07-24 00:00:00.0 ,23.129717,113.001205,狮山镇,丽怡路
 佛山市南海区九江骏鹏小食店,佛山市南海区九江镇下西侯王村南约组路边蚕房4号, ,小吃店, ,粤餐证字2013440605002477,2016-07-24 00:00:00.0 ,22.830151,113.000261,九江镇,洪圣村路
 佛山市南海区九江大众乐小食店,佛山市南海区九江镇下西南队658号首层之二, ,小吃店, ,粤餐证字2013440605002476,2016-07-24 00:00:00.0 ,22.833696,112.988233,九江镇,江滨路
 佛山市南海区九江森意小食店,佛山市南海区九江镇下西侯王村南约旧丝厂1、2号铺, ,小吃店, ,粤餐证字2013440605002475,2016-07-24 00:00:00.0 ,22.830151,113.000261,九江镇,洪圣村路
 佛山市南海区九江新威快餐店,佛山市南海区九江镇沙头工业园A区工业大道旁的商铺A1座第二铺, ,快餐店, ,粤餐证字2013440605002474,2016-07-24 00:00:00.0 ,22.914506,113.041503,九江镇,工业大道北
